symbol,yf_ticker,name,exchange
HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,NSE
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,NSE
HINDZINC,HINDZINC.NS,Hindustan Zinc Ltd.,NSE
HONAUT,HONAUT.NS,Honeywell Automation India Ltd.,NSE
HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,NSE
HDFC,HDFC.NS,Housing Development Finance Corporation Ltd.,NSE
ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,NSE
ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,NSE
ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,NSE
ISEC,ISEC.NS,ICICI Securities Ltd.,NSE
ICRA,ICRA.NS,ICRA Ltd.,NSE
IDBI,IDBI.NS,IDBI Bank Ltd.,NSE
IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,NSE
IDFC,IDFC.NS,IDFC Ltd.,NSE
IFBIND,IFBIND.NS,IFB Industries Ltd.,NSE
IFCI,IFCI.NS,IFCI Ltd.,NSE
IRB,IRB.NS,IRB Infrastructure Developers Ltd.,NSE
IRCON,IRCON.NS,IRCON International Ltd.,NSE
ITC,ITC.NS,ITC Ltd.,NSE
ITDCEM,ITDCEM.NS,ITD Cementation India Ltd.,NSE
ITI,ITI.NS,ITI Ltd.,NSE
INDIACEM,INDIACEM.NS,India Cements Ltd.,NSE
ITDC,ITDC.NS,India Tourism Development Corporation Ltd.,NSE
IBULHSGFIN,IBULHSGFIN.NS,Indiabulls Housing Finance Ltd.,NSE
IBULISL,IBULISL.NS,Indiabulls Integrated Services Ltd.,NSE
IBREALEST,IBREALEST.NS,Indiabulls Real Estate Ltd.,NSE
IBVENTURES,IBVENTURES.NS,Indiabulls Ventures Ltd.,NSE
INDIANB,INDIANB.NS,Indian Bank,NSE
IEX,IEX.NS,Indian Energy Exchange Ltd.,NSE
INDHOTEL,INDHOTEL.NS,Indian Hotels Co. Ltd.,NSE
IOC,IOC.NS,Indian Oil Corporation Ltd.,NSE
IOB,IOB.NS,Indian Overseas Bank,NSE
INDOSTAR,INDOSTAR.NS,IndoStar Capital Finance Ltd.,NSE
INDOCO,INDOCO.NS,Indoco Remedies Ltd.,NSE
IGL,IGL.NS,Indraprastha Gas Ltd.,NSE
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,NSE
INFIBEAM,INFIBEAM.NS,Infibeam Avenues Ltd.,NSE
NAUKRI,NAUKRI.NS,Info Edge (India) Ltd.,NSE
INFY,INFY.NS,Infosys Ltd.,NSE
INOXLEISUR,INOXLEISUR.NS,Inox Leisure Ltd.,NSE
INOXWIND,INOXWIND.NS,Inox Wind Ltd.,NSE
INTELLECT,INTELLECT.NS,Intellect Design Arena Ltd.,NSE
INDIGO,INDIGO.NS,InterGlobe Aviation Ltd.,NSE
IPCALAB,IPCALAB.NS,Ipca Laboratories Ltd.,NSE
JBCHEPHARM,JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,NSE
JKCEMENT,JKCEMENT.NS,J.K. Cement Ltd.,NSE
JKLAKSHMI,JKLAKSHMI.NS,JK Lakshmi Cement Ltd.,NSE
JKPAPER,JKPAPER.NS,JK Paper Ltd.,NSE
JKTYRE,JKTYRE.NS,JK Tyre & Industries Ltd.,NSE
JMFINANCIL,JMFINANCIL.NS,JM Financial Ltd.,NSE
JSWENERGY,JSWENERGY.NS,JSW Energy Ltd.,NSE
JSWSTEEL,JSWSTEEL.NS,JSW Steel Ltd.,NSE
JAGRAN,JAGRAN.NS,Jagran Prakashan Ltd.,NSE
JAICORPLTD,JAICORPLTD.NS,Jai Corp Ltd.,NSE
JISLJALEQS,JISLJALEQS.NS,Jain Irrigation Systems Ltd.,NSE
JPASSOCIAT,JPASSOCIAT.NS,Jaiprakash Associates Ltd.,NSE
J&KBANK,J&KBANK.NS,Jammu & Kashmir Bank Ltd.,NSE
