symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
LAURUSLABS,LAURUS LABS,NSE,LAURUSLABS.NS,Pharma,1404.7,1208.25,1040.25,1457.0,3.59,14.36,35.33,37.81,132.62,270.35,1.02,2.35,-1.02,7.16,True,False,10,2.03,2,2.61,True,False,False,,2,12W 5/3 2T,61.23,False,72.89,True,True,False,False,True,True,True,True,True,True,True,True,True,True,75,68
IOLCP,IOL CHEM AND PHARMA,NSE,IOLCP.NS,Other,126.92,101.28,90.57,139.99,9.34,30.99,74.87,51.15,95.89,77.3,0.49,7.04,-1.28,14.53,True,False,,,2,2.72,True,False,False,,0,,60.37,False,71.78,False,True,False,False,False,True,True,True,True,True,False,True,True,True,75,49
NRBBEARING,NRB BEARING,NSE,NRBBEARING.NS,Other,428.35,309.39,281.7,451.0,5.02,34.7,62.87,51.39,97.02,70.37,20.11,5.19,0.51,23.71,False,False,,,1,9.75,True,True,False,,3,12W 14/10 3T,77.7,False,70.27,True,True,False,False,True,True,True,True,True,True,True,True,True,True,74,61
INDSWFTLAB,IND SWIFT LABORATORIES LT,NSE,INDSWFTLAB.NS,Other,156.74,140.65,117.69,173.25,9.53,13.45,9.89,63.7,118.85,19.41,0.63,5.26,-1.83,27.59,True,False,,,2,1.01,True,False,False,,0,,62.26,False,69.97,True,True,False,False,True,True,True,True,True,True,True,True,True,True,73,59
RRKABEL,R R KABEL,NSE,RRKABEL.NS,Other,2154.6,1706.85,1460.42,2239.8,3.8,10.92,48.02,52.92,106.24,153.44,0.56,4.61,-2.0,14.38,False,False,,,0,2.62,True,False,False,,3,12W 9/4 3T,74.93,False,69.07,True,True,False,False,True,True,True,True,True,True,True,True,True,True,73,52
PAISALO,PAISALO DIGITAL,NSE,PAISALO.NS,Other,59.34,45.89,38.4,60.5,1.92,19.85,79.93,56.65,84.0,74.39,1.71,5.3,-1.57,20.04,False,False,,,1,3.27,True,True,False,,0,,91.86,False,68.57,True,True,False,False,True,True,True,True,True,True,True,True,True,True,72,61
KRISHANA,KRISHANA PHOSCHEM,NSE,KRISHANA.NS,Other,660.95,633.21,543.31,718.5,8.01,-5.85,32.38,26.15,134.27,19.39,0.38,3.94,-1.0,7.61,True,True,20,1.33,3,1.72,True,False,False,,3,12W 17/5 3T,16.35,True,67.44,True,True,False,False,False,False,True,True,True,True,True,True,True,True,71,72
DIACABS,DIAMOND POWER INFRA,NSE,DIACABS.NS,Other,198.24,166.23,146.91,212.4,6.67,14.69,42.42,42.34,110.07,168.33,1.4,6.32,-1.77,15.96,False,False,10,2.63,0,1.85,True,False,False,,2,12W 14/14 2T,55.25,False,66.68,False,True,False,False,True,True,True,True,True,True,False,True,True,True,71,54
RPTECH,RASHI PERIPHERALS,NSE,RPTECH.NS,Other,545.05,476.84,375.04,575.0,5.21,2.72,49.78,62.56,92.84,13.16,1.56,4.88,-1.14,10.59,True,False,10,1.08,3,2.38,True,False,False,,3,12W 12/7 3T,48.09,False,66.13,True,True,False,False,True,True,True,True,True,True,True,True,True,True,70,72
CPPLUS,ADITYA INFOTECH,NSE,CPPLUS.NS,Other,3423.6,2390.42,1715.86,3714.4,7.83,36.49,108.26,122.93,,138.97,0.74,5.15,-2.57,33.46,False,False,,,1,2.61,True,False,False,,0,,79.32,False,62.18,False,False,False,False,True,True,True,True,True,True,True,False,True,True,69,43
